"id","content","data"
2449,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017215301"",""especificacao"":""COTA-PARTE-CIDE-PRINCIPAL"",""vlPrevisto"":""000000220000,00"",""nroSequencial"":""000105"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017215301"",""codFontRecursos"":""116"",""vlFontRecursos"":""000000220000,00"",""nroSequencial"":""000106""}]}",2025
2450,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""019110101"",""especificacao"":""MULTAS PREV.LEGISLAÇÃO ESPECÍFICA-PRINCIPAL"",""vlPrevisto"":""000008100000,00"",""nroSequencial"":""000107"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""019110101"",""codFontRecursos"":""171"",""vlFontRecursos"":""000008100000,00"",""nroSequencial"":""000108""}]}",2025
2451,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""019229901"",""especificacao"":""OUTRAS RESTITUIÇÕES – PRINCIPAL"",""vlPrevisto"":""000000600000,00"",""nroSequencial"":""000109"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""019229901"",""codFontRecursos"":""100"",""vlFontRecursos"":""000000600000,00"",""nroSequencial"":""000110""}]}",2025
2452,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""019991221"",""especificacao"":""ÔNUS DE SUCUMBÊNCIA – PRINCIPAL"",""vlPrevisto"":""000000550000,00"",""nroSequencial"":""000111"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""019991221"",""codFontRecursos"":""144"",""vlFontRecursos"":""000000550000,00"",""nroSequencial"":""000112""}]}",2025
2453,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""021120101"",""especificacao"":""OP.CRÉDITO CONTRATUAIS-MERC.INTERNO-PRINCIPAL"",""vlPrevisto"":""000006900000,00"",""nroSequencial"":""000113"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""021120101"",""codFontRecursos"":""190"",""vlFontRecursos"":""000006900000,00"",""nroSequencial"":""000114""}]}",2025
2454,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""021125001"",""especificacao"":""OP.CRÉDITO INTERNAS PROGR.EDUC.-PRINCIPAL"",""vlPrevisto"":""000036313000,00"",""nroSequencial"":""000115"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""021125001"",""codFontRecursos"":""190"",""vlFontRecursos"":""000036313000,00"",""nroSequencial"":""000116""}]}",2025
2455,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""021125101"",""especificacao"":""OP.CRÉDITO INTERNAS PROGR.SAÚDE-PRINCIPAL"",""vlPrevisto"":""000005589560,00"",""nroSequencial"":""000117"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""021125101"",""codFontRecursos"":""190"",""vlFontRecursos"":""000005589560,00"",""nroSequencial"":""000118""}]}",2025
2456,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""021125201"",""especificacao"":""OP.CRÉDITO INTERNAS PROGR.SANEAMENTO-PRINCIPAL"",""vlPrevisto"":""000025214500,00"",""nroSequencial"":""000119"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""021125201"",""codFontRecursos"":""190"",""vlFontRecursos"":""000025214500,00"",""nroSequencial"":""000120""}]}",2025
2457,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""024199901"",""especificacao"":""OUTRAS TRANSF.REC.UNIÃO SUAS ENTID.-PRINCIPAL"",""vlPrevisto"":""000019000000,00"",""nroSequencial"":""000121"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""024199901"",""codFontRecursos"":""181"",""vlFontRecursos"":""000019000000,00"",""nroSequencial"":""000122""}]}",2025
2458,"{""tipoRegistro"":""10"",""codOrgao"":""05"",""codUnidade"":""02"",""rubrica"":""012160311"",""especificacao"":""CONT.P/FUNDOS ASSIST.MÉDICA-SERVIDORES CIVIS- PRINCIPAL"",""vlPrevisto"":""000031400000,00"",""nroSequencial"":""000123"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""05"",""codUnidade"":""02"",""rubrica"":""012160311"",""codFontRecursos"":""158"",""vlFontRecursos"":""000031400000,00"",""nroSequencial"":""000124""}]}",2025
2459,"{""tipoRegistro"":""10"",""codOrgao"":""05"",""codUnidade"":""02"",""rubrica"":""013210101"",""especificacao"":""REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL"",""vlPrevisto"":""000000600000,00"",""nroSequencial"":""000125"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""05"",""codUnidade"":""02"",""rubrica"":""013210101"",""codFontRecursos"":""158"",""vlFontRecursos"":""000000600000,00"",""nroSequencial"":""000126""}]}",2025
